ダウンロードした時刻：2018/06/20 18:51:19,,,
,,,
,東京,東京,東京
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2018/5/19,21.5,8,1
2018/5/20,16.8,8,1
2018/5/21,20.3,8,1
2018/5/22,21,8,1
2018/5/23,18.6,8,1
2018/5/24,20.7,8,1
2018/5/25,22.8,8,1
2018/5/26,21.4,8,1
2018/5/27,21.3,8,1
2018/5/28,21.6,8,1
2018/5/29,23,8,1
2018/5/30,21.1,8,1
2018/5/31,19.5,8,1
2018/6/1,21.7,8,1
2018/6/2,21.9,8,1
2018/6/3,22.5,8,1
2018/6/4,23.5,8,1
2018/6/5,23.2,8,1
2018/6/6,20.3,8,1
2018/6/7,22.2,8,1
2018/6/8,23.7,8,1
2018/6/9,25.7,8,1
2018/6/10,20,8,1
2018/6/11,18.9,8,1
2018/6/12,20.5,8,1
2018/6/13,21.5,8,1
2018/6/14,20.6,8,1
2018/6/15,17.6,8,1
2018/6/16,15.9,8,1
2018/6/17,18.7,8,1
2018/6/18,19.4,8,1
2018/6/19,22.7,8,1
